id,Node_1,Node_2,label
"(0, 17794829)",ego car,car_6083,atDRearOf
"(0, 17794829)",ego car,car_5874,atDRearOf
"(0, 17794831)",ego car,car_6083,atDRearOf
"(0, 17794831)",ego car,car_5874,atDRearOf
"(0, 17794832)",ego car,car_6083,atDRearOf
"(0, 17794832)",ego car,car_5874,atDRearOf
"(0, 17794833)",ego car,car_6083,atDRearOf
"(0, 17794833)",ego car,car_5874,atDRearOf
"(0, 17794834)",ego car,car_6083,atDRearOf
"(0, 17794834)",ego car,car_5874,atDRearOf
"(0, 17794835)",ego car,car_6083,atDRearOf
"(0, 17794835)",ego car,car_5874,atDRearOf
"(0, 17794836)",ego car,car_6083,atDRearOf
"(0, 17794836)",ego car,car_5874,atDRearOf
"(0, 17794837)",ego car,car_6083,atDRearOf
"(0, 17794837)",ego car,car_5874,atDRearOf
"(0, 17794838)",ego car,car_6083,atDRearOf
"(0, 17794838)",ego car,car_5874,atDRearOf
"(0, 17794839)",ego car,car_6083,atDRearOf
"(0, 17794839)",ego car,car_5874,atDRearOf
"(0, 17794840)",ego car,car_6083,atDRearOf
"(0, 17794840)",ego car,car_5874,atDRearOf
"(0, 17794841)",ego car,car_6083,atDRearOf
"(0, 17794841)",ego car,car_5874,atDRearOf
"(0, 17794842)",ego car,car_6083,atDRearOf
"(0, 17794842)",ego car,car_5874,atDRearOf
"(0, 17794843)",ego car,car_6083,atDRearOf
"(0, 17794843)",ego car,car_5874,atDRearOf
"(0, 17794844)",ego car,car_6083,atDRearOf
"(0, 17794844)",ego car,car_5874,atDRearOf
"(0, 17794845)",ego car,car_6083,atDRearOf
"(0, 17794845)",ego car,car_5874,atDRearOf
"(0, 17794846)",ego car,car_6083,atDRearOf
"(0, 17794846)",ego car,car_5874,atDRearOf
"(0, 17794847)",ego car,car_6083,atDRearOf
"(0, 17794847)",ego car,car_5874,atDRearOf
"(0, 17794848)",ego car,car_6083,atDRearOf
"(0, 17794848)",ego car,car_5874,atDRearOf
"(0, 17794849)",ego car,car_6083,atDRearOf
"(0, 17794849)",ego car,car_5874,atDRearOf
"(0, 17794850)",ego car,car_6083,atDRearOf
"(0, 17794850)",ego car,car_5874,atDRearOf
"(0, 17794851)",ego car,car_6083,atDRearOf
"(0, 17794851)",ego car,car_5874,atDRearOf
"(0, 17794852)",ego car,car_6083,atDRearOf
"(0, 17794852)",ego car,car_5874,atDRearOf
"(0, 17794853)",ego car,car_6083,atDRearOf
"(0, 17794853)",ego car,car_5874,atDRearOf
"(0, 17794854)",ego car,car_6083,atDRearOf
"(0, 17794854)",ego car,car_5874,atDRearOf
"(0, 17794855)",ego car,car_6083,atDRearOf
"(0, 17794855)",ego car,car_5874,atDRearOf
"(0, 17794856)",ego car,car_6083,atDRearOf
"(0, 17794856)",ego car,car_5874,atDRearOf
"(0, 17794857)",ego car,car_6083,atDRearOf
"(0, 17794857)",ego car,car_5874,atDRearOf
"(0, 17794858)",ego car,car_5874,atDRearOf
"(0, 17794859)",ego car,car_5874,atDRearOf
"(0, 17794860)",ego car,car_5874,atDRearOf
"(0, 17794861)",ego car,car_5874,atDRearOf
"(0, 17794862)",ego car,car_5874,atDRearOf
"(0, 17794863)",ego car,car_5874,atDRearOf
"(0, 17794864)",ego car,car_5874,atDRearOf
"(0, 17794865)",ego car,car_5874,atDRearOf
"(0, 17794866)",ego car,car_5874,atDRearOf
"(0, 17794867)",ego car,car_5874,atDRearOf
"(0, 17794868)",ego car,car_5874,atDRearOf
"(0, 17794869)",ego car,car_5874,atDRearOf
"(0, 17794870)",ego car,car_5874,atDRearOf
"(0, 17794871)",ego car,car_5874,atDRearOf
"(0, 17794872)",ego car,car_5874,atDRearOf
"(0, 17794873)",ego car,car_5874,atDRearOf
"(0, 17794874)",ego car,car_5874,atDRearOf
"(0, 17794875)",ego car,car_5874,atDRearOf
"(0, 17794876)",ego car,car_5874,atDRearOf
"(1, 17840802)",ego car,car_6480,atDRearOf
"(1, 17840804)",ego car,car_6480,atDRearOf
"(1, 17840805)",ego car,car_6480,atDRearOf
"(1, 17840806)",ego car,car_6480,atDRearOf
"(1, 17840807)",ego car,car_6480,atDRearOf
"(1, 17840808)",ego car,car_6480,atDRearOf
"(1, 17840809)",ego car,car_6480,atDRearOf
"(1, 17840810)",ego car,car_6480,atDRearOf
"(1, 17840811)",ego car,car_6480,atDRearOf
"(1, 17840812)",ego car,car_6480,atDRearOf
"(1, 17840813)",ego car,car_6480,atDRearOf
"(1, 17840814)",ego car,car_6480,atDRearOf
"(1, 17840815)",ego car,car_6480,atDRearOf
"(1, 17840816)",ego car,car_6480,atDRearOf
"(1, 17840817)",ego car,car_6480,atDRearOf
"(1, 17840818)",ego car,car_6480,atDRearOf
"(1, 17840819)",ego car,car_6480,atDRearOf
"(1, 17840820)",ego car,car_6480,atDRearOf
"(1, 17840821)",ego car,car_6480,atDRearOf
"(1, 17840822)",ego car,car_6480,atDRearOf
"(1, 17840823)",ego car,car_6480,atDRearOf
"(1, 17840824)",ego car,car_6480,atDRearOf
"(1, 17840825)",ego car,car_6480,atDRearOf
"(1, 17840826)",ego car,car_6480,atDRearOf
"(1, 17840827)",ego car,car_6480,atDRearOf
"(1, 17840828)",ego car,car_6480,atDRearOf
"(1, 17840829)",ego car,car_6480,atDRearOf
"(1, 17840830)",ego car,car_6480,atDRearOf
"(1, 17840831)",ego car,car_6480,atDRearOf
"(1, 17840832)",ego car,car_6480,atDRearOf
"(1, 17840833)",ego car,car_6480,atDRearOf
"(1, 17840834)",ego car,car_6480,atDRearOf
"(1, 17840835)",ego car,car_6480,atDRearOf
"(1, 17840836)",ego car,car_6480,atDRearOf
"(1, 17840837)",ego car,car_6480,atDRearOf
"(1, 17840838)",ego car,car_6480,atDRearOf
"(1, 17840839)",ego car,car_6480,atDRearOf
"(1, 17840840)",ego car,car_6480,atDRearOf
"(1, 17840841)",ego car,car_6480,atDRearOf
"(1, 17840842)",ego car,car_6480,atDRearOf
"(1, 17840843)",ego car,car_6480,atDRearOf
"(1, 17840844)",ego car,car_6480,atDRearOf
"(1, 17840845)",ego car,car_6480,atDRearOf
"(1, 17840846)",ego car,car_6480,atDRearOf
"(1, 17840847)",ego car,car_6480,atDRearOf
"(1, 17840848)",ego car,car_6480,atDRearOf
"(1, 17840849)",ego car,car_6480,atDRearOf
"(1, 17840850)",ego car,car_6480,atDRearOf
"(1, 17840851)",ego car,car_6480,atDRearOf
"(1, 17840852)",ego car,car_6480,atDRearOf
"(1, 17840853)",ego car,car_6480,atDRearOf
"(1, 17840854)",ego car,car_6480,atDRearOf
"(1, 17840855)",ego car,car_6480,atDRearOf
"(1, 17840856)",ego car,car_6480,atDRearOf
"(1, 17840857)",ego car,car_6480,atDRearOf
"(1, 17840858)",ego car,car_6480,atDRearOf
"(1, 17840859)",ego car,car_6480,atDRearOf
"(1, 17840860)",ego car,car_6480,atDRearOf
"(1, 17840861)",ego car,car_6480,atDRearOf
"(1, 17840862)",ego car,car_6480,atDRearOf
"(1, 17840863)",ego car,car_6480,atDRearOf
"(1, 17840864)",ego car,car_6480,atDRearOf
"(1, 17840865)",ego car,car_6480,atDRearOf
"(1, 17840866)",ego car,car_6480,atDRearOf
"(1, 17840867)",ego car,car_6480,atDRearOf
"(1, 17840868)",ego car,car_6480,atDRearOf
"(1, 17840869)",ego car,car_6480,atDRearOf
"(1, 17840870)",ego car,car_6480,atDRearOf
"(1, 17840871)",ego car,car_6480,atDRearOf
"(1, 17840872)",ego car,car_6480,atDRearOf
"(1, 17840873)",ego car,car_6480,atDRearOf
"(1, 17840874)",ego car,car_6480,atDRearOf
"(1, 17840875)",ego car,car_6480,atDRearOf
"(1, 17840876)",ego car,car_6480,atDRearOf
"(1, 17840877)",ego car,car_6480,atDRearOf
"(1, 17840878)",ego car,car_6480,atDRearOf
"(1, 17840879)",ego car,car_6480,atDRearOf
"(1, 17840880)",ego car,car_6480,atDRearOf
"(1, 17840881)",ego car,car_6480,atDRearOf
"(1, 17840882)",ego car,car_6480,atDRearOf
"(1, 17840883)",ego car,car_6480,atDRearOf
"(1, 17840884)",ego car,car_6480,atDRearOf
"(1, 17840885)",ego car,car_6480,atDRearOf
"(1, 17840886)",ego car,car_6480,atDRearOf
"(1, 17840887)",ego car,car_6480,atDRearOf
"(1, 17840888)",ego car,car_6480,atDRearOf
"(1, 17840889)",ego car,car_6480,atDRearOf
"(1, 17840890)",ego car,car_6480,atDRearOf
"(1, 17840891)",ego car,car_6480,atDRearOf
"(1, 17840892)",ego car,car_6480,atDRearOf
"(1, 17840893)",ego car,car_6480,atDRearOf
"(1, 17840894)",ego car,car_6480,atDRearOf
"(1, 17840895)",ego car,car_6480,atDRearOf
"(1, 17840896)",ego car,car_6480,atDRearOf
"(1, 17840897)",ego car,car_6480,atDRearOf
"(1, 17840898)",ego car,car_6480,atDRearOf
"(1, 17840899)",ego car,car_6480,atDRearOf
"(1, 17840900)",ego car,car_6480,atDRearOf
"(1, 17840901)",ego car,car_6480,atDRearOf
"(1, 17840902)",ego car,car_6480,atDRearOf
"(1, 17840903)",ego car,car_6480,atDRearOf
"(1, 17840904)",ego car,car_6480,atDRearOf
"(3, 17839044)",car_6442,ego car,atDRearOf
"(3, 17839046)",car_6442,ego car,atDRearOf
"(3, 17839047)",car_6442,ego car,atDRearOf
"(3, 17839048)",car_6442,ego car,atDRearOf
"(3, 17839048)",car_6447,ego car,atDRearOf
"(3, 17839049)",car_6442,ego car,atDRearOf
"(3, 17839049)",car_6447,ego car,atDRearOf
"(3, 17839050)",car_6442,ego car,atDRearOf
"(3, 17839050)",car_6447,ego car,atDRearOf
"(3, 17839051)",car_6442,ego car,atDRearOf
"(3, 17839052)",car_6442,ego car,atDRearOf
"(3, 17839053)",car_6442,ego car,atDRearOf
"(3, 17839054)",car_6442,ego car,atDRearOf
"(3, 17839054)",car_6447,ego car,atDRearOf
"(3, 17839055)",car_6442,ego car,atDRearOf
"(3, 17839055)",car_6447,ego car,atDRearOf
"(3, 17839056)",car_6442,ego car,atDRearOf
"(3, 17839056)",car_6447,ego car,atDRearOf
"(3, 17839057)",car_6442,ego car,atDRearOf
"(3, 17839058)",car_6442,ego car,atDRearOf
"(3, 17839059)",car_6442,ego car,atDRearOf
"(3, 17839059)",car_6447,ego car,atDRearOf
"(3, 17839060)",car_6442,ego car,atDRearOf
"(3, 17839061)",car_6442,ego car,atDRearOf
"(3, 17839062)",car_6442,ego car,atDRearOf
"(3, 17839063)",car_6442,ego car,atDRearOf
"(3, 17839064)",car_6442,ego car,atDRearOf
"(3, 17839065)",car_6442,ego car,atDRearOf
"(3, 17839067)",car_6442,ego car,atDRearOf
"(3, 17839068)",car_6442,ego car,atDRearOf
"(3, 17839070)",car_6442,ego car,atDRearOf
"(3, 17839138)",car_6447,ego car,atDRearOf
"(3, 17839139)",car_6447,ego car,atDRearOf
"(3, 17839140)",car_6447,ego car,atDRearOf
"(3, 17839144)",car_6447,ego car,atDRearOf
"(3, 17839145)",car_6447,ego car,atDRearOf
"(3, 17839146)",car_6447,ego car,atDRearOf
"(4, 17839247)",car_6391,ego car,atDRearOf
"(4, 17839249)",car_6391,ego car,atDRearOf
"(4, 17839250)",car_6391,ego car,atDRearOf
"(4, 17839251)",car_6391,ego car,atDRearOf
"(4, 17839254)",car_6391,ego car,atDRearOf
"(4, 17839255)",car_6391,ego car,atDRearOf
"(4, 17839256)",car_6391,ego car,atDRearOf
"(4, 17839257)",car_6391,ego car,atDRearOf
"(4, 17839259)",car_6391,ego car,atDRearOf
"(4, 17839263)",car_6391,ego car,atDRearOf
"(4, 17839300)",ego car,car_6647,atDRearOf
"(4, 17839301)",ego car,car_6647,atDRearOf
"(4, 17839302)",ego car,car_6647,atDRearOf
"(4, 17839303)",ego car,car_6647,atDRearOf
"(4, 17839304)",ego car,car_6647,atDRearOf
"(4, 17839305)",ego car,car_6647,atDRearOf
"(4, 17839306)",ego car,car_6647,atDRearOf
"(4, 17839307)",ego car,car_6647,atDRearOf
"(4, 17839308)",ego car,car_6647,atDRearOf
"(4, 17839309)",ego car,car_6647,atDRearOf
"(4, 17839310)",ego car,car_6647,atDRearOf
"(4, 17839311)",ego car,car_6647,atDRearOf
"(4, 17839312)",ego car,car_6647,atDRearOf
"(4, 17839313)",ego car,car_6647,atDRearOf
"(4, 17839314)",ego car,car_6647,atDRearOf
"(4, 17839315)",ego car,car_6647,atDRearOf
"(4, 17839316)",ego car,car_6647,atDRearOf
"(5, 17839617)",ego car,car_6572,atDRearOf
"(5, 17839627)",ego car,car_6572,atDRearOf
"(5, 17839628)",ego car,car_6572,atDRearOf
"(5, 17839629)",ego car,car_6572,atDRearOf
"(5, 17839630)",ego car,car_6572,atDRearOf
"(5, 17839631)",ego car,car_6572,atDRearOf
"(5, 17839632)",ego car,car_6572,atDRearOf
"(5, 17839633)",ego car,car_6572,atDRearOf
"(5, 17839634)",ego car,car_6572,atDRearOf
"(5, 17839635)",ego car,car_6572,atDRearOf
"(5, 17839636)",ego car,car_6572,atDRearOf
"(5, 17839637)",ego car,car_6572,atDRearOf
"(5, 17839638)",ego car,car_6572,atDRearOf
"(5, 17839639)",ego car,car_6572,atDRearOf
"(5, 17839640)",ego car,car_6572,atDRearOf
