id,Node_1,Node_2,label
"(0, 17794858)",ego car,car_6083,atSRearOf
"(0, 17794859)",ego car,car_6083,atSRearOf
"(0, 17794860)",ego car,car_6083,atSRearOf
"(0, 17794861)",ego car,car_6083,atSRearOf
"(0, 17794862)",ego car,car_6083,atSRearOf
"(0, 17794863)",ego car,car_6083,atSRearOf
"(0, 17794864)",ego car,car_6083,atSRearOf
"(0, 17794865)",ego car,car_6083,atSRearOf
"(0, 17794866)",ego car,car_6083,atSRearOf
"(0, 17794867)",ego car,car_6083,atSRearOf
"(0, 17794868)",ego car,car_6083,atSRearOf
"(0, 17794869)",ego car,car_6083,atSRearOf
"(0, 17794870)",ego car,car_6083,atSRearOf
"(0, 17794871)",ego car,car_6083,atSRearOf
"(0, 17794872)",ego car,car_6083,atSRearOf
"(0, 17794873)",ego car,car_6083,atSRearOf
"(0, 17794874)",ego car,car_6083,atSRearOf
"(0, 17794875)",ego car,car_6083,atSRearOf
"(0, 17794876)",ego car,car_6083,atSRearOf
"(1, 17840818)",ego car,car_6513,atSRearOf
"(1, 17840819)",ego car,car_6513,atSRearOf
"(1, 17840820)",ego car,car_6513,atSRearOf
"(1, 17840821)",ego car,car_6513,atSRearOf
"(1, 17840822)",ego car,car_6313,atSRearOf
"(1, 17840822)",ego car,car_6513,atSRearOf
"(1, 17840823)",ego car,car_6313,atSRearOf
"(1, 17840823)",ego car,car_6513,atSRearOf
"(1, 17840824)",ego car,car_6313,atSRearOf
"(1, 17840824)",ego car,car_6513,atSRearOf
"(1, 17840825)",ego car,car_6313,atSRearOf
"(1, 17840825)",ego car,car_6513,atSRearOf
"(1, 17840826)",ego car,car_6313,atSRearOf
"(1, 17840826)",ego car,car_6513,atSRearOf
"(1, 17840827)",ego car,car_6313,atSRearOf
"(1, 17840827)",ego car,car_6513,atSRearOf
"(1, 17840828)",ego car,car_6313,atSRearOf
"(1, 17840828)",ego car,car_6513,atSRearOf
"(1, 17840829)",ego car,car_6313,atSRearOf
"(1, 17840829)",ego car,car_6513,atSRearOf
"(1, 17840830)",ego car,car_6313,atSRearOf
"(1, 17840830)",ego car,car_6513,atSRearOf
"(1, 17840831)",ego car,car_6313,atSRearOf
"(1, 17840831)",ego car,car_6513,atSRearOf
"(1, 17840832)",ego car,car_6313,atSRearOf
"(1, 17840832)",ego car,car_6513,atSRearOf
"(1, 17840833)",ego car,car_6313,atSRearOf
"(1, 17840833)",ego car,car_6513,atSRearOf
"(1, 17840834)",ego car,car_6313,atSRearOf
"(1, 17840834)",ego car,car_6513,atSRearOf
"(1, 17840835)",ego car,car_6313,atSRearOf
"(1, 17840835)",ego car,car_6513,atSRearOf
"(1, 17840836)",ego car,car_6313,atSRearOf
"(1, 17840836)",ego car,car_6513,atSRearOf
"(1, 17840837)",ego car,car_6313,atSRearOf
"(1, 17840837)",ego car,car_6513,atSRearOf
"(1, 17840838)",ego car,car_6313,atSRearOf
"(1, 17840838)",ego car,car_6513,atSRearOf
"(1, 17840839)",ego car,car_6313,atSRearOf
"(1, 17840839)",ego car,car_6513,atSRearOf
"(1, 17840840)",ego car,car_6313,atSRearOf
"(1, 17840840)",ego car,car_6513,atSRearOf
"(1, 17840841)",ego car,car_6313,atSRearOf
"(1, 17840841)",ego car,car_6513,atSRearOf
"(1, 17840842)",ego car,car_6313,atSRearOf
"(1, 17840842)",ego car,car_6513,atSRearOf
"(1, 17840843)",ego car,car_6313,atSRearOf
"(1, 17840843)",ego car,car_6513,atSRearOf
"(1, 17840844)",ego car,car_6313,atSRearOf
"(1, 17840844)",ego car,car_6513,atSRearOf
"(1, 17840845)",ego car,car_6313,atSRearOf
"(1, 17840845)",ego car,car_6513,atSRearOf
"(1, 17840846)",ego car,car_6313,atSRearOf
"(1, 17840846)",ego car,car_6513,atSRearOf
"(1, 17840847)",ego car,car_6313,atSRearOf
"(1, 17840847)",ego car,car_6513,atSRearOf
"(1, 17840848)",ego car,car_6313,atSRearOf
"(1, 17840848)",ego car,car_6513,atSRearOf
"(1, 17840849)",ego car,car_6313,atSRearOf
"(1, 17840849)",ego car,car_6513,atSRearOf
"(1, 17840850)",ego car,car_6313,atSRearOf
"(1, 17840850)",ego car,car_6513,atSRearOf
"(1, 17840851)",ego car,car_6313,atSRearOf
"(1, 17840851)",ego car,car_6513,atSRearOf
"(1, 17840852)",ego car,car_6313,atSRearOf
"(1, 17840852)",ego car,car_6513,atSRearOf
"(1, 17840853)",ego car,car_6313,atSRearOf
"(1, 17840853)",ego car,car_6513,atSRearOf
"(1, 17840854)",ego car,car_6313,atSRearOf
"(1, 17840854)",ego car,car_6513,atSRearOf
"(1, 17840855)",ego car,car_6313,atSRearOf
"(1, 17840855)",ego car,car_6513,atSRearOf
"(1, 17840856)",ego car,car_6313,atSRearOf
"(1, 17840856)",ego car,car_6513,atSRearOf
