id,Node_1,Node_2,label
"(0, 17794829)",car_6083,ego car,inDFrontOf
"(0, 17794829)",car_5874,ego car,inDFrontOf
"(0, 17794831)",car_6083,ego car,inDFrontOf
"(0, 17794831)",car_5874,ego car,inDFrontOf
"(0, 17794832)",car_6083,ego car,inDFrontOf
"(0, 17794832)",car_5874,ego car,inDFrontOf
"(0, 17794833)",car_6083,ego car,inDFrontOf
"(0, 17794833)",car_5874,ego car,inDFrontOf
"(0, 17794834)",car_6083,ego car,inDFrontOf
"(0, 17794834)",car_5874,ego car,inDFrontOf
"(0, 17794835)",car_6083,ego car,inDFrontOf
"(0, 17794835)",car_5874,ego car,inDFrontOf
"(0, 17794836)",car_6083,ego car,inDFrontOf
"(0, 17794836)",car_5874,ego car,inDFrontOf
"(0, 17794837)",car_6083,ego car,inDFrontOf
"(0, 17794837)",car_5874,ego car,inDFrontOf
"(0, 17794838)",car_6083,ego car,inDFrontOf
"(0, 17794838)",car_5874,ego car,inDFrontOf
"(0, 17794839)",car_6083,ego car,inDFrontOf
"(0, 17794839)",car_5874,ego car,inDFrontOf
"(0, 17794840)",car_6083,ego car,inDFrontOf
"(0, 17794840)",car_5874,ego car,inDFrontOf
"(0, 17794841)",car_6083,ego car,inDFrontOf
"(0, 17794841)",car_5874,ego car,inDFrontOf
"(0, 17794842)",car_6083,ego car,inDFrontOf
"(0, 17794842)",car_5874,ego car,inDFrontOf
"(0, 17794843)",car_6083,ego car,inDFrontOf
"(0, 17794843)",car_5874,ego car,inDFrontOf
"(0, 17794844)",car_6083,ego car,inDFrontOf
"(0, 17794844)",car_5874,ego car,inDFrontOf
"(0, 17794845)",car_6083,ego car,inDFrontOf
"(0, 17794845)",car_5874,ego car,inDFrontOf
"(0, 17794846)",car_6083,ego car,inDFrontOf
"(0, 17794846)",car_5874,ego car,inDFrontOf
"(0, 17794847)",car_6083,ego car,inDFrontOf
"(0, 17794847)",car_5874,ego car,inDFrontOf
"(0, 17794848)",car_6083,ego car,inDFrontOf
"(0, 17794848)",car_5874,ego car,inDFrontOf
"(0, 17794849)",car_6083,ego car,inDFrontOf
"(0, 17794849)",car_5874,ego car,inDFrontOf
"(0, 17794850)",car_6083,ego car,inDFrontOf
"(0, 17794850)",car_5874,ego car,inDFrontOf
"(0, 17794851)",car_6083,ego car,inDFrontOf
"(0, 17794851)",car_5874,ego car,inDFrontOf
"(0, 17794852)",car_6083,ego car,inDFrontOf
"(0, 17794852)",car_5874,ego car,inDFrontOf
