id,Node_1,Node_2,label
"(1, 17840802)",ego car,car_6480,near
"(1, 17840802)",car_6480,ego car,near
"(1, 17840804)",ego car,car_6480,near
"(1, 17840804)",car_6480,ego car,near
"(1, 17840805)",ego car,car_6480,near
"(1, 17840805)",car_6480,ego car,near
"(1, 17840806)",ego car,car_6480,near
"(1, 17840806)",car_6480,ego car,near
"(1, 17840807)",ego car,car_6480,near
"(1, 17840807)",car_6480,ego car,near
"(1, 17840808)",ego car,car_6480,near
"(1, 17840808)",car_6480,ego car,near
"(1, 17840809)",ego car,car_6480,near
"(1, 17840809)",car_6480,ego car,near
"(1, 17840810)",ego car,car_6480,near
"(1, 17840810)",car_6480,ego car,near
"(1, 17840811)",ego car,car_6480,near
"(1, 17840811)",car_6480,ego car,near
"(1, 17840812)",ego car,car_6480,near
"(1, 17840812)",car_6480,ego car,near
"(1, 17840813)",ego car,car_6480,near
"(1, 17840813)",car_6480,ego car,near
"(1, 17840814)",ego car,car_6480,near
"(1, 17840814)",car_6480,ego car,near
"(1, 17840815)",ego car,car_6480,near
"(1, 17840815)",car_6480,ego car,near
"(1, 17840816)",ego car,car_6480,near
"(1, 17840816)",car_6480,ego car,near
"(1, 17840817)",ego car,car_6480,near
"(1, 17840817)",car_6480,ego car,near
"(1, 17840818)",ego car,car_6480,near
"(1, 17840818)",car_6480,ego car,near
"(1, 17840819)",ego car,car_6480,near
"(1, 17840819)",car_6480,ego car,near
"(1, 17840820)",ego car,car_6480,near
"(1, 17840820)",car_6480,ego car,near
"(1, 17840821)",ego car,car_6480,near
"(1, 17840821)",car_6480,ego car,near
"(1, 17840822)",ego car,car_6480,near
"(1, 17840822)",car_6480,ego car,near
"(1, 17840823)",ego car,car_6480,near
"(1, 17840823)",car_6480,ego car,near
"(1, 17840824)",ego car,car_6480,near
"(1, 17840824)",car_6480,ego car,near
"(1, 17840825)",ego car,car_6480,near
"(1, 17840825)",car_6480,ego car,near
"(1, 17840826)",ego car,car_6480,near
"(1, 17840826)",car_6480,ego car,near
"(1, 17840827)",ego car,car_6480,near
"(1, 17840827)",car_6480,ego car,near
"(1, 17840828)",ego car,car_6480,near
"(1, 17840828)",car_6480,ego car,near
"(1, 17840829)",ego car,car_6480,near
"(1, 17840829)",car_6480,ego car,near
"(1, 17840830)",ego car,car_6480,near
"(1, 17840830)",car_6480,ego car,near
"(1, 17840831)",ego car,car_6480,near
"(1, 17840831)",car_6480,ego car,near
"(1, 17840832)",ego car,car_6480,near
"(1, 17840832)",car_6480,ego car,near
"(1, 17840833)",ego car,car_6480,near
"(1, 17840833)",car_6480,ego car,near
"(1, 17840834)",ego car,car_6480,near
"(1, 17840834)",car_6480,ego car,near
"(1, 17840835)",ego car,car_6480,near
"(1, 17840835)",car_6480,ego car,near
"(1, 17840836)",ego car,car_6480,near
"(1, 17840836)",car_6480,ego car,near
"(1, 17840837)",ego car,car_6480,near
"(1, 17840837)",car_6480,ego car,near
"(1, 17840838)",ego car,car_6480,near
"(1, 17840838)",car_6480,ego car,near
"(1, 17840839)",ego car,car_6480,near
"(1, 17840839)",car_6480,ego car,near
"(1, 17840840)",ego car,car_6480,near
"(1, 17840840)",car_6480,ego car,near
"(1, 17840841)",ego car,car_6480,near
"(1, 17840841)",ego car,car_6513,near
"(1, 17840841)",car_6480,ego car,near
"(1, 17840841)",car_6513,ego car,near
"(1, 17840842)",ego car,car_6480,near
"(1, 17840842)",ego car,car_6513,near
"(1, 17840842)",car_6480,ego car,near
"(1, 17840842)",car_6513,ego car,near
"(1, 17840843)",ego car,car_6480,near
"(1, 17840843)",ego car,car_6513,near
"(1, 17840843)",car_6480,ego car,near
"(1, 17840843)",car_6513,ego car,near
"(1, 17840844)",ego car,car_6480,near
"(1, 17840844)",ego car,car_6513,near
"(1, 17840844)",car_6480,ego car,near
"(1, 17840844)",car_6513,ego car,near
"(1, 17840845)",ego car,car_6480,near
"(1, 17840845)",ego car,car_6513,near
"(1, 17840845)",car_6480,ego car,near
"(1, 17840845)",car_6513,ego car,near
"(1, 17840846)",ego car,car_6480,near
"(1, 17840846)",ego car,car_6513,near
"(1, 17840846)",car_6480,ego car,near
"(1, 17840846)",car_6513,ego car,near
"(1, 17840847)",ego car,car_6480,near
"(1, 17840847)",ego car,car_6513,near
"(1, 17840847)",car_6480,ego car,near
"(1, 17840847)",car_6513,ego car,near
"(1, 17840848)",ego car,car_6313,near
"(1, 17840848)",ego car,car_6480,near
"(1, 17840848)",ego car,car_6513,near
"(1, 17840848)",car_6313,ego car,near
"(1, 17840848)",car_6480,ego car,near
"(1, 17840848)",car_6513,ego car,near
"(1, 17840849)",ego car,car_6313,near
"(1, 17840849)",ego car,car_6480,near
"(1, 17840849)",ego car,car_6513,near
"(1, 17840849)",car_6313,ego car,near
"(1, 17840849)",car_6480,ego car,near
"(1, 17840849)",car_6513,ego car,near
"(1, 17840850)",ego car,car_6313,near
"(1, 17840850)",ego car,car_6480,near
"(1, 17840850)",ego car,car_6513,near
"(1, 17840850)",car_6313,ego car,near
"(1, 17840850)",car_6480,ego car,near
"(1, 17840850)",car_6513,ego car,near
"(1, 17840851)",ego car,car_6313,near
"(1, 17840851)",ego car,car_6480,near
"(1, 17840851)",ego car,car_6513,near
"(1, 17840851)",car_6313,ego car,near
"(1, 17840851)",car_6480,ego car,near
"(1, 17840851)",car_6513,ego car,near
"(1, 17840852)",ego car,car_6313,near
"(1, 17840852)",ego car,car_6480,near
"(1, 17840852)",ego car,car_6513,near
"(1, 17840852)",car_6313,ego car,near
"(1, 17840852)",car_6480,ego car,near
"(1, 17840852)",car_6513,ego car,near
"(1, 17840853)",ego car,car_6313,near
"(1, 17840853)",ego car,car_6480,near
"(1, 17840853)",ego car,car_6513,near
"(1, 17840853)",car_6313,ego car,near
"(1, 17840853)",car_6480,ego car,near
"(1, 17840853)",car_6513,ego car,near
"(1, 17840854)",ego car,car_6313,near
"(1, 17840854)",ego car,car_6480,near
"(1, 17840854)",ego car,car_6513,near
"(1, 17840854)",car_6313,ego car,near
"(1, 17840854)",car_6480,ego car,near
"(1, 17840854)",car_6513,ego car,near
"(1, 17840855)",ego car,car_6313,near
"(1, 17840855)",ego car,car_6480,near
"(1, 17840855)",ego car,car_6513,near
"(1, 17840855)",car_6313,ego car,near
"(1, 17840855)",car_6480,ego car,near
"(1, 17840855)",car_6513,ego car,near
"(1, 17840856)",ego car,car_6313,near
"(1, 17840856)",ego car,car_6480,near
"(1, 17840856)",ego car,car_6513,near
"(1, 17840856)",car_6313,ego car,near
"(1, 17840856)",car_6480,ego car,near
"(1, 17840856)",car_6513,ego car,near
"(1, 17840857)",ego car,car_6313,near
"(1, 17840857)",ego car,car_6480,near
