id,Node_1,Node_2,label
"(0, 17794829)",ego car,car_5874,super_near
"(0, 17794829)",car_5874,ego car,super_near
"(0, 17794831)",ego car,car_5874,super_near
"(0, 17794831)",car_5874,ego car,super_near
"(0, 17794832)",ego car,car_6083,super_near
"(0, 17794832)",ego car,car_5874,super_near
"(0, 17794832)",car_6083,ego car,super_near
"(0, 17794832)",car_5874,ego car,super_near
"(0, 17794833)",ego car,car_5874,super_near
"(0, 17794833)",car_5874,ego car,super_near
"(0, 17794834)",ego car,car_6083,super_near
"(0, 17794834)",ego car,car_5874,super_near
"(0, 17794834)",car_6083,ego car,super_near
"(0, 17794834)",car_5874,ego car,super_near
"(0, 17794835)",ego car,car_6083,super_near
"(0, 17794835)",ego car,car_5874,super_near
"(0, 17794835)",car_6083,ego car,super_near
"(0, 17794835)",car_5874,ego car,super_near
"(0, 17794836)",ego car,car_6083,super_near
"(0, 17794836)",ego car,car_5874,super_near
"(0, 17794836)",car_6083,ego car,super_near
"(0, 17794836)",car_5874,ego car,super_near
"(0, 17794837)",ego car,car_6083,super_near
"(0, 17794837)",car_6083,ego car,super_near
"(0, 17794838)",ego car,car_5874,super_near
"(0, 17794838)",car_5874,ego car,super_near
"(0, 17794839)",ego car,car_5874,super_near
"(0, 17794839)",car_5874,ego car,super_near
"(0, 17794840)",ego car,car_6083,super_near
"(0, 17794840)",ego car,car_5874,super_near
"(0, 17794840)",car_6083,ego car,super_near
"(0, 17794840)",car_5874,ego car,super_near
"(0, 17794841)",ego car,car_6083,super_near
"(0, 17794841)",ego car,car_5874,super_near
"(0, 17794841)",car_6083,ego car,super_near
"(0, 17794841)",car_5874,ego car,super_near
"(0, 17794842)",ego car,car_5874,super_near
"(0, 17794842)",car_5874,ego car,super_near
"(0, 17794843)",ego car,car_6083,super_near
"(0, 17794843)",ego car,car_5874,super_near
"(0, 17794843)",car_6083,ego car,super_near
"(0, 17794843)",car_5874,ego car,super_near
"(0, 17794844)",ego car,car_6083,super_near
"(0, 17794844)",ego car,car_5874,super_near
"(0, 17794844)",car_6083,ego car,super_near
"(0, 17794844)",car_5874,ego car,super_near
"(0, 17794845)",ego car,car_5874,super_near
"(0, 17794845)",car_5874,ego car,super_near
"(0, 17794846)",ego car,car_5874,super_near
"(0, 17794846)",car_5874,ego car,super_near
"(0, 17794847)",ego car,car_5874,super_near
"(0, 17794847)",car_5874,ego car,super_near
"(0, 17794848)",ego car,car_5874,super_near
"(0, 17794848)",car_5874,ego car,super_near
"(0, 17794849)",ego car,car_6083,super_near
"(0, 17794849)",ego car,car_5874,super_near
"(0, 17794849)",car_6083,ego car,super_near
"(0, 17794849)",car_5874,ego car,super_near
"(0, 17794851)",ego car,car_6083,super_near
"(0, 17794851)",ego car,car_5874,super_near
"(0, 17794851)",car_6083,ego car,super_near
"(0, 17794851)",car_5874,ego car,super_near
"(0, 17794852)",ego car,car_6083,super_near
"(0, 17794852)",car_6083,ego car,super_near
"(0, 17794853)",ego car,car_5874,super_near
"(0, 17794853)",car_5874,ego car,super_near
