id,Node_1,Node_2,label
"(0, 17794829)",ego car,car_6083,toLeftOf
"(0, 17794829)",ego car,car_5874,toLeftOf
"(0, 17794831)",ego car,car_6083,toLeftOf
"(0, 17794831)",ego car,car_5874,toLeftOf
"(0, 17794832)",ego car,car_6083,toLeftOf
"(0, 17794832)",ego car,car_5874,toLeftOf
"(0, 17794833)",ego car,car_6083,toLeftOf
"(0, 17794833)",ego car,car_5874,toLeftOf
"(0, 17794834)",ego car,car_6083,toLeftOf
"(0, 17794834)",ego car,car_5874,toLeftOf
"(0, 17794835)",ego car,car_6083,toLeftOf
"(0, 17794835)",ego car,car_5874,toLeftOf
"(0, 17794836)",ego car,car_6083,toLeftOf
"(0, 17794836)",ego car,car_5874,toLeftOf
"(0, 17794837)",ego car,car_6083,toLeftOf
"(0, 17794837)",ego car,car_5874,toLeftOf
"(0, 17794838)",ego car,car_6083,toLeftOf
"(0, 17794838)",ego car,car_5874,toLeftOf
"(0, 17794839)",ego car,car_6083,toLeftOf
"(0, 17794839)",ego car,car_5874,toLeftOf
"(0, 17794840)",ego car,car_6083,toLeftOf
"(0, 17794840)",ego car,car_5874,toLeftOf
"(0, 17794841)",ego car,car_6083,toLeftOf
"(0, 17794841)",ego car,car_5874,toLeftOf
"(0, 17794842)",ego car,car_6083,toLeftOf
"(0, 17794842)",ego car,car_5874,toLeftOf
"(0, 17794843)",ego car,car_6083,toLeftOf
"(0, 17794843)",ego car,car_5874,toLeftOf
"(0, 17794844)",ego car,car_6083,toLeftOf
"(0, 17794844)",ego car,car_5874,toLeftOf
"(0, 17794845)",ego car,car_6083,toLeftOf
"(0, 17794845)",ego car,car_5874,toLeftOf
"(0, 17794846)",ego car,car_6083,toLeftOf
"(0, 17794846)",ego car,car_5874,toLeftOf
"(0, 17794847)",ego car,car_6083,toLeftOf
"(0, 17794847)",ego car,car_5874,toLeftOf
"(0, 17794848)",ego car,car_6083,toLeftOf
"(0, 17794848)",ego car,car_5874,toLeftOf
"(0, 17794849)",ego car,car_6083,toLeftOf
"(0, 17794849)",ego car,car_5874,toLeftOf
"(0, 17794850)",ego car,car_6083,toLeftOf
"(0, 17794850)",ego car,car_5874,toLeftOf
"(0, 17794851)",ego car,car_6083,toLeftOf
"(0, 17794851)",ego car,car_5874,toLeftOf
"(0, 17794852)",ego car,car_6083,toLeftOf
"(0, 17794852)",ego car,car_5874,toLeftOf
"(0, 17794853)",ego car,car_6083,toLeftOf
"(0, 17794853)",ego car,car_5874,toLeftOf
"(0, 17794854)",ego car,car_6083,toLeftOf
"(0, 17794854)",ego car,car_5874,toLeftOf
"(0, 17794855)",ego car,car_6083,toLeftOf
"(0, 17794855)",ego car,car_5874,toLeftOf
"(0, 17794856)",ego car,car_6083,toLeftOf
"(0, 17794856)",ego car,car_5874,toLeftOf
"(0, 17794857)",ego car,car_6083,toLeftOf
