id,Node_1,Node_2,label
"(0, 17794837)",ego car,car_5874,very_near
"(0, 17794837)",car_5874,ego car,very_near
"(0, 17794850)",ego car,car_5874,very_near
"(0, 17794850)",car_5874,ego car,very_near
"(0, 17794852)",ego car,car_5874,very_near
"(0, 17794852)",car_5874,ego car,very_near
"(0, 17794857)",ego car,car_5874,very_near
"(0, 17794857)",car_5874,ego car,very_near
"(0, 17794871)",ego car,car_5874,very_near
"(0, 17794871)",car_5874,ego car,very_near
"(0, 17794872)",ego car,car_5874,very_near
"(0, 17794872)",car_5874,ego car,very_near
"(0, 17794873)",ego car,car_5874,very_near
"(0, 17794873)",car_5874,ego car,very_near
"(3, 17839044)",ego car,car_6444,very_near
"(3, 17839044)",car_6444,ego car,very_near
"(3, 17839046)",ego car,car_6444,very_near
"(3, 17839046)",car_6444,ego car,very_near
"(3, 17839047)",ego car,car_6444,very_near
"(3, 17839047)",car_6444,ego car,very_near
"(3, 17839048)",ego car,car_6444,very_near
"(3, 17839048)",ego car,car_6447,very_near
"(3, 17839048)",car_6444,ego car,very_near
"(3, 17839048)",car_6447,ego car,very_near
"(3, 17839049)",ego car,car_6447,very_near
"(3, 17839049)",car_6447,ego car,very_near
"(3, 17839050)",ego car,car_6444,very_near
"(3, 17839050)",ego car,car_6447,very_near
"(3, 17839050)",car_6444,ego car,very_near
"(3, 17839050)",car_6447,ego car,very_near
"(3, 17839051)",ego car,car_6447,very_near
"(3, 17839051)",car_6447,ego car,very_near
"(3, 17839052)",ego car,car_6447,very_near
"(3, 17839052)",car_6447,ego car,very_near
"(3, 17839053)",ego car,car_6447,very_near
"(3, 17839053)",car_6447,ego car,very_near
"(3, 17839054)",ego car,car_6447,very_near
"(3, 17839054)",car_6447,ego car,very_near
"(3, 17839055)",ego car,car_6447,very_near
"(3, 17839055)",car_6447,ego car,very_near
"(3, 17839056)",ego car,car_6447,very_near
"(3, 17839056)",car_6447,ego car,very_near
"(3, 17839057)",ego car,car_6447,very_near
"(3, 17839057)",car_6447,ego car,very_near
"(3, 17839058)",ego car,car_6447,very_near
"(3, 17839058)",car_6447,ego car,very_near
"(3, 17839059)",ego car,car_6447,very_near
"(3, 17839059)",car_6447,ego car,very_near
