id,Node_1,Node_2,label
"(1, 17840818)",ego car,car_6513,visible
"(1, 17840818)",car_6513,ego car,visible
"(1, 17840819)",ego car,car_6513,visible
"(1, 17840819)",car_6513,ego car,visible
"(1, 17840820)",ego car,car_6513,visible
"(1, 17840820)",car_6513,ego car,visible
"(1, 17840821)",ego car,car_6513,visible
"(1, 17840821)",car_6513,ego car,visible
"(1, 17840822)",ego car,car_6313,visible
"(1, 17840822)",ego car,car_6513,visible
"(1, 17840822)",car_6313,ego car,visible
"(1, 17840822)",car_6513,ego car,visible
"(1, 17840823)",ego car,car_6313,visible
"(1, 17840823)",ego car,car_6513,visible
"(1, 17840823)",car_6313,ego car,visible
"(1, 17840823)",car_6513,ego car,visible
"(1, 17840824)",ego car,car_6313,visible
"(1, 17840824)",ego car,car_6513,visible
"(1, 17840824)",car_6313,ego car,visible
"(1, 17840824)",car_6513,ego car,visible
"(1, 17840825)",ego car,car_6313,visible
"(1, 17840825)",ego car,car_6513,visible
"(1, 17840825)",car_6313,ego car,visible
"(1, 17840825)",car_6513,ego car,visible
"(1, 17840826)",ego car,car_6313,visible
"(1, 17840826)",ego car,car_6513,visible
"(1, 17840826)",car_6313,ego car,visible
"(1, 17840826)",car_6513,ego car,visible
"(1, 17840827)",ego car,car_6313,visible
"(1, 17840827)",ego car,car_6513,visible
"(1, 17840827)",car_6313,ego car,visible
"(1, 17840827)",car_6513,ego car,visible
"(1, 17840828)",ego car,car_6313,visible
"(1, 17840828)",ego car,car_6513,visible
"(1, 17840828)",car_6313,ego car,visible
"(1, 17840828)",car_6513,ego car,visible
"(1, 17840829)",ego car,car_6313,visible
"(1, 17840829)",ego car,car_6513,visible
"(1, 17840829)",car_6313,ego car,visible
"(1, 17840829)",car_6513,ego car,visible
"(1, 17840830)",ego car,car_6313,visible
"(1, 17840830)",ego car,car_6513,visible
"(1, 17840830)",car_6313,ego car,visible
"(1, 17840830)",car_6513,ego car,visible
"(1, 17840831)",ego car,car_6313,visible
"(1, 17840831)",ego car,car_6513,visible
"(1, 17840831)",car_6313,ego car,visible
"(1, 17840831)",car_6513,ego car,visible
"(1, 17840832)",ego car,car_6313,visible
"(1, 17840832)",ego car,car_6513,visible
"(1, 17840832)",car_6313,ego car,visible
"(1, 17840832)",car_6513,ego car,visible
"(1, 17840833)",ego car,car_6313,visible
"(1, 17840833)",ego car,car_6513,visible
"(1, 17840833)",car_6313,ego car,visible
"(1, 17840833)",car_6513,ego car,visible
"(1, 17840834)",ego car,car_6313,visible
"(1, 17840834)",ego car,car_6513,visible
"(1, 17840834)",car_6313,ego car,visible
