,id,Node_1,Node_2,is_atDRearOf,is_atSRearOf,is_inDFrontOf,is_inSFrontOf,is_isIn,is_toLeftOf,is_toRightOf,near_level,lane_id_diff,lane_id,lane_id_Node_2,Name,velocity_diff,abs_distance,abs_distance_level,equal_frequency_velocity_diff,equal_frequency_distance_difff
0,"(0, 17794829)",car_5874,ego car,0,0,1,0,0,0,1,4,-2.0,-3.0,-1.0,car_5874,5,6.082762530298219,2,4,1
1,"(0, 17794829)",car_6083,ego car,0,0,1,0,0,0,1,5,-1.0,-2.0,-1.0,car_6083,-2,2.8284271247461903,1,3,1
2,"(0, 17794831)",car_5874,ego car,0,0,1,0,0,0,1,4,-2.0,-3.0,-1.0,car_5874,5,6.324555320336759,2,4,1
3,"(0, 17794831)",car_6083,ego car,0,0,1,0,0,0,1,5,-1.0,-2.0,-1.0,car_6083,-1,3.605551275463989,1,3,1
4,"(0, 17794832)",car_5874,ego car,0,0,1,0,0,0,1,4,-2.0,-3.0,-1.0,car_5874,6,6.082762530298219,2,4,1
5,"(0, 17794832)",car_6083,ego car,0,0,1,0,0,0,1,4,-1.0,-2.0,-1.0,car_6083,-1,4.242640687119285,1,3,1
6,"(0, 17794833)",car_5874,ego car,0,0,1,0,0,0,1,4,-2.0,-3.0,-1.0,car_5874,6,6.082762530298219,2,4,1
7,"(0, 17794833)",car_6083,ego car,0,0,1,0,0,0,1,5,-1.0,-2.0,-1.0,car_6083,-1,3.605551275463989,1,3,1
8,"(0, 17794834)",car_5874,ego car,0,0,1,0,0,0,1,4,-2.0,-3.0,-1.0,car_5874,7,6.324555320336759,2,4,1
9,"(0, 17794834)",car_6083,ego car,0,0,1,0,0,0,1,4,-1.0,-2.0,-1.0,car_6083,0,4.242640687119285,1,4,1
10,"(0, 17794835)",car_5874,ego car,0,0,1,0,0,0,1,4,-2.0,-3.0,-1.0,car_5874,6,6.082762530298219,2,4,1
11,"(0, 17794835)",car_6083,ego car,0,0,1,0,0,0,1,4,-1.0,-2.0,-1.0,car_6083,-1,4.242640687119285,1,3,1
12,"(0, 17794836)",car_5874,ego car,0,0,1,0,0,0,1,4,-2.0,-3.0,-1.0,car_5874,6,6.082762530298219,2,4,1
13,"(0, 17794836)",car_6083,ego car,0,0,1,0,0,0,1,4,-1.0,-2.0,-1.0,car_6083,-1,4.242640687119285,1,3,1
14,"(0, 17794837)",car_5874,ego car,0,0,1,0,0,0,1,3,-2.0,-3.0,-1.0,car_5874,7,7.071067811865476,3,4,1
15,"(0, 17794837)",car_6083,ego car,0,0,1,0,0,0,1,4,-1.0,-2.0,-1.0,car_6083,-1,4.242640687119285,1,3,1
16,"(0, 17794838)",car_5874,ego car,0,0,1,0,0,0,1,4,-2.0,-3.0,-1.0,car_5874,8,6.082762530298219,2,5,1
17,"(0, 17794838)",car_6083,ego car,0,0,1,0,0,0,1,5,-1.0,-2.0,-1.0,car_6083,1,3.605551275463989,1,4,1
18,"(0, 17794839)",car_5874,ego car,0,0,1,0,0,0,1,4,-2.0,-3.0,-1.0,car_5874,7,6.0,2,4,1
19,"(0, 17794839)",car_6083,ego car,0,0,1,0,0,0,1,5,-1.0,-2.0,-1.0,car_6083,0,2.8284271247461903,1,4,1
20,"(0, 17794840)",car_5874,ego car,0,0,1,0,0,0,1,4,-2.0,-3.0,-1.0,car_5874,9,6.082762530298219,2,5,1
21,"(0, 17794840)",car_6083,ego car,0,0,1,0,0,0,1,4,-1.0,-2.0,-1.0,car_6083,1,4.242640687119285,1,4,1
22,"(0, 17794841)",car_5874,ego car,0,0,1,0,0,0,1,4,-2.0,-3.0,-1.0,car_5874,8,6.0,2,5,1
23,"(0, 17794841)",car_6083,ego car,0,0,1,0,0,0,1,4,-1.0,-2.0,-1.0,car_6083,0,4.242640687119285,1,4,1
24,"(0, 17794842)",car_5874,ego car,0,0,1,0,0,0,1,4,-2.0,-3.0,-1.0,car_5874,9,6.0,2,5,1
25,"(0, 17794842)",car_6083,ego car,0,0,1,0,0,0,1,5,-1.0,-2.0,-1.0,car_6083,2,3.605551275463989,1,4,1
